Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,LoanAmount_log,ApplicantIncome_log,TotalIncome,TotalIncome_log,LoanAmount_sqrt,EMI,Loan_Income_Ratio
LP001002,Male,0,0,Graduate,0,5849,0.0,128.0,360.0,1.0,Urban,1,4.859812404361672,8.674196940225903,5849.0,8.674196940225903,11.313708498984761,0.35555555555555557,6.078911874774416e-05
LP001003,Male,1,1,Graduate,0,4583,1508.0,128.0,360.0,1.0,Rural,0,4.859812404361672,8.430327258394575,6091.0,8.714731714015052,11.313708498984761,0.35555555555555557,5.837392145059195e-05
LP001005,Male,1,0,Graduate,1,3000,0.0,66.0,360.0,1.0,Urban,1,4.204692619390966,8.006700845440367,3000.0,8.006700845440367,8.12403840463596,0.18333333333333332,6.111111111111111e-05
LP001006,Male,1,0,Not Graduate,0,2583,2358.0,120.0,360.0,1.0,Urban,1,4.795790545596741,7.857093864902493,4941.0,8.505525386548555,10.954451150103322,0.3333333333333333,6.7462726843419e-05
LP001008,Male,0,0,Graduate,0,6000,0.0,141.0,360.0,1.0,Urban,1,4.955827057601261,8.699681400989514,6000.0,8.699681400989514,11.874342087037917,0.39166666666666666,6.527777777777778e-05
LP001011,Male,1,2,Graduate,1,5417,4196.0,267.0,360.0,1.0,Urban,1,5.5909869805108565,8.59748202264504,9613.0,9.170975648453906,16.34013463836819,0.7416666666666667,7.715246714518534e-05
LP001013,Male,1,0,Not Graduate,0,2333,1516.0,95.0,360.0,1.0,Urban,1,4.564348191467836,7.755338812846501,3849.0,8.25582842728183,9.746794344808963,0.2638888888888889,6.856037643255103e-05
LP001014,Male,1,3+,Graduate,0,3036,2504.0,158.0,360.0,0.0,Semiurban,0,5.0689042022202315,8.01862546504575,5540.0,8.61993026886735,12.569805089976535,0.4388888888888889,7.922182109907742e-05
LP001018,Male,1,2,Graduate,0,4006,1526.0,168.0,360.0,1.0,Urban,1,5.1298987149230735,8.295798110636145,5532.0,8.618485442898109,12.96148139681572,0.4666666666666667,8.435767654856591e-05
LP001020,Male,1,1,Graduate,0,12841,10968.0,349.0,360.0,1.0,Semiurban,0,5.857933154483459,9.460476328353995,23809.0,10.077860939480908,18.681541692269406,0.9694444444444444,4.0717562453040634e-05
LP001024,Male,1,2,Graduate,0,3200,700.0,70.0,360.0,1.0,Urban,1,4.2626798770413155,8.071218539969863,3900.0,8.268988209506656,8.366600265340756,0.19444444444444445,4.985754985754986e-05
LP001027,Male,1,2,Graduate,0,2500,1840.0,109.0,360.0,1.0,Urban,1,4.700480365792417,7.824445930877619,4340.0,8.375860015299594,10.44030650891055,0.30277777777777776,6.976446492575525e-05
LP001028,Male,1,2,Graduate,0,3073,8106.0,200.0,360.0,1.0,Urban,1,5.303304908059076,8.03073492409854,11179.0,9.32188174670909,14.142135623730951,0.5555555555555556,4.969635526930455e-05
LP001029,Male,0,0,Graduate,0,1853,2840.0,114.0,360.0,1.0,Rural,0,4.74493212836325,7.5251007461258,4693.0,8.454040376410969,10.677078252031311,0.31666666666666665,6.747638326585695e-05
LP001030,Male,1,2,Graduate,0,1299,1086.0,17.0,120.0,1.0,Urban,1,2.8903717578961645,7.170119543449628,2385.0,7.777373602657861,4.123105625617661,0.14166666666666666,5.9399021663172604e-05
LP001032,Male,0,0,Graduate,0,4950,0.0,125.0,360.0,1.0,Urban,1,4.836281906951478,8.507344855361422,4950.0,8.507344855361422,11.180339887498949,0.3472222222222222,7.01459034792368e-05
LP001034,Male,0,1,Not Graduate,0,3596,0.0,100.0,240.0,1.0,Urban,1,4.61512051684126,8.187855443695623,3596.0,8.187855443695623,10.0,0.4166666666666667,0.00011586948461253245
LP001036,Female,0,0,Graduate,0,3510,0.0,76.0,360.0,0.0,Urban,0,4.343805421853684,8.163656176168432,3510.0,8.163656176168432,8.717797887081348,0.2111111111111111,6.0145615701171255e-05
LP001038,Male,1,0,Not Graduate,0,4887,0.0,133.0,360.0,1.0,Rural,0,4.897839799950911,8.494538500851432,4887.0,8.494538500851432,11.532562594670797,0.36944444444444446,7.559738990064343e-05
LP001041,Male,1,0,Graduate,0,2600,3500.0,115.0,360.0,1.0,Urban,1,4.7535901911063645,7.8636512654486515,6100.0,8.716207971151853,10.723805294763608,0.3194444444444444,5.2367941712204e-05
LP001043,Male,1,0,Not Graduate,0,7660,0.0,104.0,360.0,0.0,Urban,0,4.653960350157523,8.94389780251682,7660.0,8.94389780251682,10.198039027185569,0.28888888888888886,3.771395416304032e-05
LP001046,Male,1,1,Graduate,0,5955,5625.0,315.0,360.0,1.0,Urban,1,5.755742213586912,8.6921543938039,11580.0,9.357121103184378,17.74823934929885,0.875,7.556131260794473e-05
LP001047,Male,1,0,Not Graduate,0,2600,1911.0,116.0,360.0,0.0,Semiurban,0,4.762173934797756,7.8636512654486515,4511.0,8.414495793177895,10.770329614269007,0.32222222222222224,7.143033079632504e-05
LP001050,Male,1,2,Not Graduate,0,3365,1917.0,112.0,360.0,0.0,Rural,0,4.727387818712341,8.121480374750751,5282.0,8.572249397164315,10.583005244258363,0.3111111111111111,5.8900248222474654e-05
LP001052,Male,1,1,Graduate,0,3717,2925.0,151.0,360.0,1.0,Semiurban,0,5.0238805208462765,8.220941168281389,6642.0,8.80131894766524,12.288205727444508,0.41944444444444445,6.31503228612533e-05
LP001066,Male,1,0,Graduate,1,9560,0.0,191.0,360.0,1.0,Semiurban,1,5.2574953720277815,9.165447603085447,9560.0,9.165447603085447,13.820274961085254,0.5305555555555556,5.5497443049744306e-05
LP001068,Male,1,0,Graduate,0,2799,2253.0,122.0,360.0,1.0,Semiurban,1,4.812184355372417,7.937374696163295,5052.0,8.527737405291909,11.045361017187261,0.3388888888888889,6.708014427729393e-05
LP001073,Male,1,2,Not Graduate,0,4226,1040.0,110.0,360.0,1.0,Urban,1,4.709530201312334,8.34924780056679,5266.0,8.569216219483389,10.488088481701515,0.3055555555555556,5.802422247541884e-05
LP001086,Male,0,0,Not Graduate,0,1442,0.0,35.0,360.0,1.0,Urban,0,3.58351893845611,7.274479558773871,1442.0,7.274479558773871,5.916079783099616,0.09722222222222222,6.74217907227616e-05
LP001087,Female,0,2,Graduate,0,3750,2083.0,120.0,360.0,1.0,Semiurban,1,4.795790545596741,8.229777750081887,5833.0,8.671458150427666,10.954451150103322,0.3333333333333333,5.714612263557917e-05
LP001091,Male,1,1,Graduate,0,4166,3369.0,201.0,360.0,1.0,Urban,0,5.308267697401205,8.334951631422454,7535.0,8.927446816256198,14.177446878757825,0.5583333333333333,7.409865074098651e-05
LP001095,Male,0,0,Graduate,0,3167,0.0,74.0,360.0,1.0,Urban,0,4.31748811353631,8.060855752934316,3167.0,8.060855752934316,8.602325267042627,0.20555555555555555,6.490544854927551e-05
LP001097,Male,0,1,Graduate,1,4692,0.0,106.0,360.0,1.0,Rural,0,4.672828834461906,8.453827315794417,4692.0,8.453827315794417,10.295630140987,0.29444444444444445,6.27545704272047e-05
LP001098,Male,1,0,Graduate,0,3500,1667.0,114.0,360.0,1.0,Semiurban,1,4.74493212836325,8.160803920954665,5167.0,8.550241045462437,10.677078252031311,0.31666666666666665,6.128636862137927e-05
LP001100,Male,0,3+,Graduate,0,12500,3000.0,320.0,360.0,1.0,Rural,0,5.771441123130016,9.433563920090563,15500.0,9.648659816955295,17.88854381999832,0.8888888888888888,5.7347670250896056e-05
LP001106,Male,1,0,Graduate,0,2275,2067.0,128.0,360.0,1.0,Urban,1,4.859812404361672,7.730174795246222,4342.0,8.376320632534823,11.313708498984761,0.35555555555555557,8.188750703720764e-05
LP001109,Male,1,0,Graduate,0,1828,1330.0,100.0,360.0,0.0,Urban,0,4.61512051684126,7.511524648390866,3158.0,8.058010800802085,10.0,0.2777777777777778,8.79600309619309e-05
LP001112,Female,1,0,Graduate,0,3667,1459.0,144.0,360.0,1.0,Semiurban,1,4.976733742420574,8.207401833376355,5126.0,8.5422759717837,12.0,0.4,7.803355442840422e-05
LP001114,Male,0,0,Graduate,0,4166,7210.0,184.0,360.0,1.0,Urban,1,5.220355825078325,8.334951631422454,11376.0,9.339349052539717,13.564659966250536,0.5111111111111111,4.49288951398656e-05
